Year,Month,Name,URL
2018,april,2018 april,http://datos.imss.gob.mx/node/718/download
2018,may,2018 may,http://datos.imss.gob.mx/node/761/download
2018,june,2018 june,http://datos.imss.gob.mx/node/763/download
2018,july,2018 july,http://datos.imss.gob.mx/node/785/download
2018,august,2018 august,http://datos.imss.gob.mx/node/787/download
2018,september,2018 september,http://datos.imss.gob.mx/node/795/download
2018,october,2018 october,http://datos.imss.gob.mx/node/833/download
2018,november,2018 november,http://datos.imss.gob.mx/node/841/download
2018,december,2018 december,http://datos.imss.gob.mx/node/843/download
2019,january,2019 january,http://datos.imss.gob.mx/node/858/download
2019,february,2019 february,http://datos.imss.gob.mx/node/966/download
2019,march,2019 march,http://datos.imss.gob.mx/node/974/download
2019,april,2019 april,http://datos.imss.gob.mx/node/976/download
2019,may,2019 may,http://datos.imss.gob.mx/node/978/download
2019,june,2019 june,http://datos.imss.gob.mx/node/980/download
2019,july,2019 july,http://datos.imss.gob.mx/node/984/download
2019,august,2019 august,http://datos.imss.gob.mx/node/988/download
2019,september,2019 september,http://datos.imss.gob.mx/node/990/download
2019,october,2019 october,http://datos.imss.gob.mx/node/994/download
2019,november,2019 november,http://datos.imss.gob.mx/node/1002/download
2019,december,2019 december,http://datos.imss.gob.mx/node/1004/download
2020,january,2020 january,http://datos.imss.gob.mx/node/1007/download
2020,february,2020 february,http://datos.imss.gob.mx/node/1010/download
2020,march,2020 march,http://datos.imss.gob.mx/node/1078/download
2020,april,2020 april,http://datos.imss.gob.mx/node/1080/download
2020,may,2020 may,http://datos.imss.gob.mx/node/1082/download
2020,june,2020 june,http://datos.imss.gob.mx/node/1086/download
2020,july,2020 july,http://datos.imss.gob.mx/node/1090/download
2020,august,2020 august,http://datos.imss.gob.mx/node/1098/download
2020,september,2020 september,http://datos.imss.gob.mx/node/1100/download
2020,october,2020 october,http://datos.imss.gob.mx/node/1102/download
2020,november,2020 november,http://datos.imss.gob.mx/node/1104/download
2020,december,2020 december,http://datos.imss.gob.mx/node/1107/download
2021,january,2021 january,http://datos.imss.gob.mx/node/1113/download
2021,february,2021 february,http://datos.imss.gob.mx/node/1116/download
2021,march,2021 march,http://datos.imss.gob.mx/node/1118/download
2021,april,2021 april,http://datos.imss.gob.mx/node/1120/download
2021,may,2021 may,http://datos.imss.gob.mx/node/1125/download
2021,june,2021 june,http://datos.imss.gob.mx/node/1129/download
2021,july,2021 july,http://datos.imss.gob.mx/node/1131/download
2021,august,2021 august,http://datos.imss.gob.mx/node/1133/download
2021,september,2021 september,http://datos.imss.gob.mx/node/1135/download
2021,october,2021 october,http://datos.imss.gob.mx/node/1137/download
2021,november,2021 november,http://datos.imss.gob.mx/node/1142/download
2021,december,2021 december,http://datos.imss.gob.mx/node/1146/download
2022,january,2022 january,http://datos.imss.gob.mx/node/1150/download
2022,february,2022 february,http://datos.imss.gob.mx/node/1152/download
2022,march,2022 march,http://datos.imss.gob.mx/node/1166/download
2022,april,2022 april,http://datos.imss.gob.mx/node/1170/download
2022,may,2022 may,http://datos.imss.gob.mx/node/1172/download
2022,june,2022 june,http://datos.imss.gob.mx/node/1249/download
2022,july,2022 july,http://datos.imss.gob.mx/node/1252/download
2022,august,2022 august,http://datos.imss.gob.mx/node/1254/download
2022,september,2022 september,http://datos.imss.gob.mx/node/1256/download
2022,october,2022 october,http://datos.imss.gob.mx/node/1264/download
2022,november,2022 november,http://datos.imss.gob.mx/node/1266/download
2022,december,2022 december,http://datos.imss.gob.mx/node/1274/download
2023,january,2023 january,http://datos.imss.gob.mx/node/1277/download
2023,february,2023 february,http://datos.imss.gob.mx/node/1286/download
2023,march,2023 march,http://datos.imss.gob.mx/node/1325/download
2023,april,2023 april,http://datos.imss.gob.mx/node/1327/download
2023,may,2023 may,http://datos.imss.gob.mx/node/1329/download
2023,june,2023 june,http://datos.imss.gob.mx/node/1354/download
2023,july,2023 july,http://datos.imss.gob.mx/node/1358/download
